what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1465135946129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465135948813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1465135951871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465135968429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465135974249
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135977043
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135979214
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135980540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135981585
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135982458
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135991594
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1465135999306
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465135999524
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1465136015960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1465136016226
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1465136028825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136037846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136084889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136084922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136084986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136104191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136187938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136204429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136208290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136209942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136387650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136390102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136391693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136391765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136399221
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465136399860
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1465136402539
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1465136402613
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1465136402616
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1465136402718
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1465136402851
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1465136402895
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1465136402895
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1465136402895
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1465136403194
